Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FANS,PLAYERS,MEDIA,SCORE
Precious Achiuwa,PF,21,MIA,28,2,14.6,2.6,4.4,0.59,0,0,0,2.6,4.4,0.59,0.59,1.3,2.4,0.561,1.3,2.7,4,0.6,0.4,0.5,1,1.9,6.5,17325,3,0,64
Steven Adams,C,27,NOP,27,27,28.1,3.5,5.8,0.603,0,0,0,3.5,5.7,0.606,0.603,1.1,2.3,0.468,4.3,4.6,8.9,2.1,1,0.6,1.7,1.9,8,75952,20,0,49.8
Bam Adebayo,C,23,MIA,26,26,33.6,7.4,12.9,0.573,0.1,0.2,0.4,7.3,12.7,0.576,0.576,5.1,6,0.841,1.9,7.3,9.2,5.3,1,1,3,2.6,19.9,753846,70,0,36.8
LaMarcus Aldridge,C,35,SAS,18,18,26.7,5.9,12.5,0.476,1.3,3.7,0.358,4.6,8.8,0.525,0.529,0.9,1.2,0.762,0.8,3.5,4.3,1.9,0.4,0.9,0.9,1.5,14.1,68593,16,0,50.8
Nickeil Alexander-Walker,SG,22,NOP,23,3,19.2,3.3,8.2,0.41,1,3.8,0.276,2.3,4.4,0.525,0.473,1.1,1.4,0.781,0.2,2.4,2.7,2,1.1,0.3,1.3,1.7,8.8,8230,3,0,57.2
Grayson Allen,SG,25,MEM,19,8,23.9,3.2,7.4,0.429,2.3,5.3,0.436,0.8,2.1,0.41,0.586,1.7,1.9,0.892,0.4,2.5,2.9,2.1,1,0.2,1.1,1.3,10.4,4512,2,0,62.8
Jarrett Allen,C,22,TOT,28,10,26.2,4.4,6.8,0.642,0,0.1,0.25,4.3,6.6,0.651,0.645,3.6,4.7,0.758,2.9,6.1,9,1.6,0.5,1.6,1.5,1.6,12.3,93246,4,0,50
Kyle Anderson,PF,27,MEM,24,24,28.1,5,10.7,0.467,1.7,4.3,0.388,3.3,6.4,0.519,0.545,2.1,2.7,0.781,0.9,5.3,6.3,3.8,1.1,0.8,1.4,1.8,13.8,4471,2,0,63.2
Giannis Antetokounmpo,PF,26,MIL,27,27,33.6,10.3,18.4,0.563,1.1,4,0.29,9.2,14.4,0.638,0.594,6.4,9.9,0.642,1.7,9.7,11.4,5.8,1.3,1.3,3.7,3.1,28.2,4459276,180,100,1.8
Carmelo Anthony,PF,36,POR,27,3,25.3,4.6,11.7,0.396,1.7,4.5,0.377,2.9,7.2,0.407,0.468,2.4,2.8,0.842,0.6,2.9,3.5,1.3,0.8,0.8,0.9,2.1,13.3,497474,31,0,42.2
Cole Anthony,PG,20,ORL,25,17,26.7,4,10.8,0.375,1.1,3.3,0.325,3,7.4,0.398,0.426,1.8,2.2,0.836,0.8,3.6,4.4,3.8,0.7,0.4,2,2,11,11864,4,0,57.5
OG Anunoby,SF,23,TOR,18,18,34.4,5.1,10.3,0.489,2.4,5.7,0.431,2.6,4.7,0.56,0.608,2,2.7,0.75,1.6,4.3,5.9,1.6,2,0.6,1.7,2.9,14.6,140800,17,0,45
D.J. Augustin,PG,33,MIL,27,0,17.8,1.7,5.1,0.336,1.2,3.3,0.364,0.5,1.8,0.286,0.453,1.3,1.4,0.895,0.4,0.8,1.2,3,0.5,0,0.8,0.7,5.9,2521,2,0,73.2
Deni Avdija,SF,20,WAS,22,16,22.9,2.5,6,0.424,1.2,3.5,0.355,1.3,2.5,0.518,0.527,0.5,0.9,0.579,0.5,4.4,4.9,1.6,0.8,0.2,0.8,2.8,6.8,86051,2,0,54.8
Deandre Ayton,C,22,PHO,27,27,32.1,6.1,10.3,0.59,0.1,0.6,0.25,5.9,9.7,0.611,0.597,1.6,2.3,0.721,3.7,8.6,12.2,1.8,0.3,1,2.1,3.4,13.9,110069,19,0,48
Dwayne Bacon,SG,25,ORL,29,20,24.9,4.1,9.6,0.423,1.1,2.9,0.373,3,6.8,0.444,0.478,1.5,1.9,0.8,0.4,2.7,3.1,1,0.8,0.1,0.7,1.7,10.7,1911,3,0,76
Marvin Bagley III,PF,21,SAC,25,25,24.9,5.1,10.8,0.476,1,2.8,0.371,4.1,8,0.513,0.524,1.5,2.9,0.514,2.1,5.3,7.4,0.9,0.5,0.5,1.5,2.5,12.8,14930,3,0,69.2
LaMelo Ball,PG,19,CHO,28,8,27.7,5.4,12.4,0.437,1.8,5.1,0.354,3.6,7.3,0.495,0.51,2,2.5,0.797,1.5,4.6,6.2,6.1,1.5,0.4,2.7,2.6,14.6,299068,14,0,44.5
Lonzo Ball,PG,23,NOP,25,25,30.9,5.2,12.2,0.424,2.9,7.6,0.381,2.3,4.6,0.496,0.543,0.8,1.1,0.741,0.6,3.7,4.3,4.7,1.2,0.5,2,2.5,14,57363,14,0,44.2
Desmond Bane,SG,22,MEM,20,2,22.8,3.8,7.8,0.484,2.1,4.3,0.482,1.7,3.5,0.486,0.616,0.7,0.9,0.824,0.5,2.2,2.7,1.6,0.7,0.2,1.2,1.9,10.3,1605,3,0,72.8
Harrison Barnes,PF,28,SAC,27,27,35.1,5.3,11,0.48,1.7,4.3,0.388,3.6,6.7,0.539,0.556,3.6,4.3,0.843,1.1,5.1,6.2,3.4,0.8,0.2,1.4,1.1,15.8,41105,3,0,61.8
RJ Barrett,SG,20,NYK,30,30,33.7,6.2,14.6,0.428,1,3.4,0.304,5.2,11.2,0.466,0.463,3,4,0.742,1.3,4.9,6.2,3.1,0.7,0.2,1.9,2.5,16.5,102535,17,0,47
Will Barton,SF,30,DEN,25,21,29.8,4.4,10,0.436,1.6,4,0.404,2.8,6,0.457,0.516,1.3,1.8,0.75,0.5,3.2,3.7,3.2,0.8,0.4,1.5,1.8,11.6,4466,0,0,101.5
Nicolas Batum,SF,32,LAC,27,27,29.9,3.3,6.8,0.492,2.1,4.6,0.456,1.2,2.1,0.569,0.648,1,1.1,0.867,0.9,4,4.9,2.3,1.4,0.4,0.7,1.7,9.7,16224,7,0,63.5
